program,type,fy,state_abbr,GEOID,NAME,population,B01003_001M,mhi,B19013_001M,below_poverty,B17001_002M,white_non_hispanic,B03002_003M,pct_below_poverty,pct_poc,place_name
DW,earmark,23,AK,0284510,"Whittier city, Alaska",377,97,48828,10627,84,53,180,71,22.281167108753316,52.254641909814325,Whittier
DW,earmark,23,AK,0213340,"Chickaloon CDP, Alaska",283,149,51875,13774,12,13,241,146,4.240282685512367,14.840989399293292,Chickaloon
DW,earmark,23,AK,0286490,"Yakutat CDP, Alaska",564,76,76875,23980,56,54,173,66,9.929078014184398,69.32624113475177,Yakutat
DW,earmark,23,AK,0254920,"Nome city, Alaska",3710,29,103542,11511,212,79,964,110,5.714285714285714,74.01617250673854,Nome
DW,earmark,23,AL,0129032,"Garden City town, Alabama",598,185,54318,7117,127,77,570,182,21.237458193979933,4.682274247491634,Garden City
DW,earmark,23,AL,0150000,"Mobile city, Alabama",186316,59,48524,1887,37379,2441,73925,1818,20.0621524721441,60.32278494600571,Mobile
DW,earmark,23,AR,0525360,"Fulton town, Arkansas",208,120,36397,19077,22,30,95,84,10.576923076923077,54.32692307692308,Fulton
DW,earmark,23,AZ,0408220,"Bullhead City city, Arizona",41593,48,47129,4100,7814,926,28244,1080,18.78681508907749,32.094342798066975,Bullhead City
DW,earmark,23,AZ,0410180,"Carefree town, Arizona",3671,20,122328,28340,251,141,3544,76,6.837374012530646,3.459547807137014,Carefree
DW,earmark,23,AZ,0451810,"Page city, Arizona",7444,22,79521,6641,916,465,2745,563,12.3052122514777,63.12466415905427,Page
DW,earmark,23,AZ,0420050,"Douglas city, Arizona",16301,25,41594,4426,3799,683,1737,306,23.30531869210478,89.34421201153303,Douglas
DW,earmark,23,AZ,0437200,"Kearny town, Arizona",2327,470,58026,26145,235,171,1192,334,10.098839707778255,48.77524709926945,Kearny
DW,earmark,23,AZ,0444410,"Maricopa city, Arizona",59605,140,88795,3246,4421,965,26729,1639,7.417162989682073,55.15644660682828,Maricopa
DW,earmark,23,CA,0620956,"East Palo Alto city, California",29520,53,103248,9728,3595,976,3383,931,12.17818428184282,88.539972899729,East Palo Alto
DW,earmark,23,CA,0680644,"Tulare city, California",69261,48,65933,3542,11997,1566,19632,1658,17.321436306146314,71.65504396413566,Tulare
DW,earmark,23,CA,0686482,"Woodville CDP, California",1830,350,38750,2241,549,257,96,102,30,94.75409836065573,Woodville
DW,earmark,23,CA,0648354,"Modesto city, California",218308,71,73375,2386,29823,2119,88515,1938,13.660974403136853,59.454074060501675,Modesto
DW,earmark,23,CA,0601010,"Allensworth CDP, California",459,146,53500,9577,137,76,0,13,29.847494553376908,100,Allensworth
DW,earmark,23,CA,0619318,"Dinuba city, California",24713,28,54590,9382,6829,1591,1887,433,27.633229474365717,92.36434265366407,Dinuba
DW,earmark,23,CA,0611390,"Carmichael CDP, California",78144,2263,80138,3796,9243,1318,50427,1926,11.82816339066339,35.469133906633914,Carmichael
DW,earmark,23,CA,0613588,"Citrus Heights city, California",87127,57,75022,2848,8728,1091,58710,1857,10.017560572497619,32.61560710227599,Citrus Heights
DW,earmark,23,CA,0664000,"Sacramento city, California",523600,97,78954,1851,76325,4232,161191,3356,14.57696715049656,69.21485867074102,Sacramento
DW,earmark,23,CA,0654652,"Oxnard city, California",202279,54,90409,2145,21315,1908,26982,1698,10.537426030383777,86.66099792860356,Oxnard
DW,earmark,23,CA,0603162,"Atwater city, California",31841,65,64195,2307,5494,1030,9619,970,17.254483213466916,69.79052165447065,Atwater
DW,earmark,23,CA,0661026,"Ripon city, California",16092,25,115583,19534,971,388,10389,696,6.034054188416604,35.43997017151379,Ripon
DW,earmark,23,CA,0617428,"Crows Landing CDP, California",212,125,34648,18974,46,50,47,41,21.69811320754717,77.83018867924528,Crows Landing
DW,earmark,23,CA,0681736,"Valley Center CDP, California",10929,1533,104115,24896,1518,780,5442,973,13.889651386220148,50.205874279440025,Valley Center
DW,earmark,23,CA,0653980,"Orange city, California",138728,74,109335,4829,12263,1586,56896,2116,8.839599792399516,58.98737097053227,Orange
DW,earmark,23,CA,0601276,"Alta CDP, California",652,228,89152,9580,35,30,571,220,5.368098159509203,12.423312883435571,Alta
DW,earmark,23,CA,0603386,"Azusa city, California",49704,74,81516,4953,6039,820,7256,530,12.149927571221632,85.40157733784001,Azusa
DW,earmark,23,CA,0664224,"Salinas city, California",162783,160,84250,2967,22898,2708,19706,1337,14.066579433970377,87.89431328824263,Salinas
DW,earmark,23,CA,0672688,"Soquel CDP, California",10505,1155,113918,5531,659,234,7523,896,6.273203236554021,28.38648262732032,Soquel
DW,earmark,23,CA,0633182,"Hemet city, California",89651,92,49901,2928,15373,1773,32806,2052,17.14760571549676,63.40698932527245,Hemet
DW,earmark,23,CA,0614260,"Coachella city, California",42279,58,52466,4347,4710,900,591,261,11.140282409706947,98.60214290782658,Coachella
DW,earmark,23,CA,0669154,"Santa Fe Springs city, California",18840,36,81500,6969,1923,506,2102,488,10.207006369426752,88.84288747346072,Santa Fe Springs
DW,earmark,23,CA,0657792,"Pleasanton city, California",78691,37,181639,6079,4142,1010,32893,1363,5.263626081762845,58.19979413147628,Pleasanton
DW,earmark,23,CA,0658072,"Pomona city, California",149831,67,73515,3334,21749,1842,15185,1310,14.515687674780253,89.8652481796157,Pomona
